Cover Art,Book Title,Book Subtitle,Rating Star,Number of Reviews,Book Cash Price,Discount (% off),Author,Narrator,Length,Release Date,Language,Publisher,Category,AI Summary,AI Review,Topic Tags
Let Them Theory,The Let Them Theory,A Life-Changing Tool That Millions of People Can’t Stop Talking About,4.7,13.8k,23.77,30%,Mel Robbins,Mel Robbins,4 hrs 58 mins,"Apr 30, 2024",English,Mel Robbins Productions,Self-Help,Practical guidance on freeing oneself from societal expectations.,"Praised for its clear, relatable advice; some found it a bit repetitive.","Self-Improvement, Mindfulness"
The Tenant,The Tenant,A Riveting Thriller,4.4,2.6k,19.1,30%,Freida McFadden,"Will Damron, Christine Lakin",7 hrs 49 mins,"May 7, 2024",English,Dreamscape Media,Thriller,A suspenseful thriller about hidden secrets in a seemingly perfect apartment.,Loved for its suspense and clever twists; some found character development lacking.,"Suspense, Mystery"
Original Sin,Original Sin,"President Biden’s Decline, His Cover-Up, and His Disastrous Bid to Run Again",4.2,1.3k,18.86,30%,Jake Tapper,Jake Tapper,13 hrs 38 mins,"Apr 23, 2024",English,"Little, Brown & Company",Politics,An exploration of U.S. political scandals and cover-ups.,Noted for its detailed reporting and clarity; some thought the pacing was slow.,"Politics, Current Events"
Great Big Beautiful Life,Great Big Beautiful Life,A Novel,4.6,5.0k,14.18,30%,Emily Henry,Julia Whelan,12 hrs 2 mins,"Apr 25, 2024",English,Penguin Audio,Fiction,A heartwarming story of two writers vying to tell an extraordinary life story.,Highly rated for emotional depth and narration; some felt it dragged in parts.,"Romance, Literary Fiction"
He Who Fights with Monsters 12,He Who Fights with Monsters 12,A LitRPG Adventure,4.8,3.1k,34.93,30%,Shirtaloon (Travis Deverell),Heath Miller,19 hrs 26 mins,"May 20, 2024",English,Podium Audio,Fantasy,"An epic fantasy journey full of battles, magic, and personal growth.",Appreciated for immersive world-building; some found it complex and dense.,"LitRPG, Epic Fantasy"
Sunrise on the Reaping,Sunrise on the Reaping,A Hunger Games Novel,4.8,4.0k,21.92,30%,Suzanne Collins,Santino Fontana,12 hrs 45 mins,"May 1, 2024",English,Scholastic Audio,Dystopian,An exciting prequel to the Hunger Games saga with deep world-building.,Highly praised for adding depth to the universe; some missed the original characters.,"Dystopian, YA"
Fourth Wing,Fourth Wing,"The Empyrean, Book 1",4.7,88.8k,18.05,30%,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",20 hrs 43 mins,"May 2, 2023",English,Entangled: Red Tower Books,Fantasy,A thrilling fantasy about a dragon-rider academy and self-discovery.,Celebrated for thrilling romance and world-building; some disliked pacing.,"Fantasy, Romance"
Broken Country,Broken Country,A Novel,4.7,1.4k,13.12,30%,Leslie Jamison,Sean Patrick Hopkins,12 hrs 15 mins,"May 14, 2024",English,Penguin Audio,Fiction,"A poignant novel about family, survival, and the American landscape.",Praised for authenticity and emotional weight; some wanted a faster pace.,"Contemporary Fiction, Southern Gothic"
Onyx Storm,Onyx Storm,"The Bound and the Broken, Book 3",4.7,1.3k,18.06,30%,Ryan Cahill,Damian Lynch,31 hrs 18 mins,"May 9, 2024",English,Podium Audio,Fantasy,"A sweeping epic of battles, politics, and intricate alliances.",Commended for detailed action scenes; some thought it was a bit slow.,Epic Fantasy
Atomic Habits,Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,4.8,149.7k,12.6,30%,James Clear,James Clear,5 hrs 35 mins,"Oct 16, 2018",English,Penguin Audio,Self-Help,A practical guide to forming good habits and breaking bad ones.,Loved for actionable insights and clear strategies; some felt it was too basic.,"Productivity, Psychology"
